tid,assigned_core
0,0
1,1
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,0
32,1
33,0
34,1
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,1
60,1
61,0
62,1
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,1
95,0
96,0
97,1
98,1
99,0
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,1
156,1
157,1
158,0
159,1
